rank,RDM,RDM_avg,lower_bound,upper_bound,range,distance_rdm_wa_median,,,,,,,,
33,0.658224404,0.710306327,0.688634426,0.731686379,0.043051953,0.051471671,,,,,,,,
9,0.74015063,0.680666367,0.621137824,0.740555073,0.119417249,0.057131993,,,,,,,,
1,0.824880064,0.676107566,0.602915635,0.748946595,0.14603096,0.147421607,,,,,,,,
37,0.642006338,0.672196229,0.6591053,0.685847242,0.026741942,0.030936379,,,,,,,,
32,0.662267685,0.657841722,0.64316634,0.673696731,0.030530391,0.004215446,,,,,,,,
7,0.768181086,0.652416031,0.601856693,0.705569208,0.103712515,0.113645044,,,,,,,,
3,0.785470545,0.651848555,0.590897025,0.713620865,0.12272384,0.133406888,,,,,,,,
18,0.710409403,0.647735635,0.58684399,0.708941595,0.122097605,0.060063163,,,,,,,,
17,0.716402411,0.646584829,0.588240206,0.705123555,0.116883349,0.0676183,,,,,,,,
42,0.627885222,0.64449505,0.620661942,0.668428114,0.047766172,0.015604305,,,,,,,,
14,0.723425448,0.643610875,0.604878413,0.683116476,0.078238063,0.079854431,,,,,,,average of top 50 ,0.082069631
8,0.761660218,0.643056194,0.588848564,0.697458578,0.108610013,0.11704837,,,,,,,,0.081756071
5,0.779355943,0.642801046,0.560765455,0.725314618,0.164549163,0.133906354,,,,,,,,0.047954507
6,0.778849721,0.638453603,0.578571634,0.699034605,0.12046297,0.139592183,,,,,,,,
13,0.72525847,0.636037429,0.587337973,0.682678191,0.095340219,0.09190957,,,,,,,,
2,0.792073131,0.630521099,0.553607752,0.707123365,0.153515613,0.159746136,,,,,,,,
48,0.602820456,0.628745953,0.606945324,0.649790102,0.042844778,0.025255107,,,,,,,,
29,0.66342175,0.622265498,0.572417678,0.671465073,0.099047395,0.042483874,,,,,,,,
30,0.66308254,0.619519393,0.561837512,0.676909852,0.11507234,0.040914072,,,,,,,,
10,0.735941589,0.619011243,0.550544031,0.688052797,0.137508766,0.11498068,,,,,,,,
56,0.573591053,0.616332531,0.581280384,0.651277543,0.06999716,0.041281794,,,,,,,,
23,0.695204854,0.609823465,0.558088238,0.663682621,0.105594382,0.083120961,,,,,,,,
24,0.68514204,0.60449787,0.521447701,0.688241549,0.166793849,0.077409206,,,,,,,,
11,0.725992024,0.601576805,0.53650258,0.666606112,0.130103532,0.127664412,,,,,,,,
103,0.51247859,0.601533254,0.557976069,0.643069412,0.085093343,0.087219829,,,,,,,,
28,0.669154525,0.599473079,0.558763532,0.638330939,0.079567407,0.072065313,,,,,,,,
35,0.649058163,0.599262476,0.526495141,0.670460289,0.143965148,0.054809853,,,,,,,,
27,0.669850111,0.595384916,0.561883635,0.628796781,0.066913146,0.076256341,,,,,,,,
58,0.571535289,0.593916178,0.542922871,0.64177702,0.09885415,0.021468727,,,,,,,,
4,0.785411954,0.592011213,0.504026809,0.680139567,0.176112758,0.197984453,,,,,,,,
44,0.617912769,0.591152747,0.530646687,0.650643636,0.11999695,0.030917633,,,,,,,,
26,0.670832276,0.590202888,0.531070707,0.646704777,0.11563407,0.083457294,,,,,,,,
61,0.568626285,0.58776776,0.523410266,0.652332018,0.128921752,0.023900905,,,,,,,,
45,0.614504278,0.580545743,0.565378769,0.59566415,0.030285381,0.034739564,,,,,,,,
135,0.460748285,0.578272978,0.530805972,0.623956578,0.093150606,0.116137746,,,,,,,,
41,0.628073096,0.578152816,0.532314473,0.623402891,0.091088418,0.051458076,,,,,,,,
54,0.576021552,0.576239983,0.571711198,0.58051584,0.008804643,0.000144806,,,,,,,,
15,0.719976425,0.575034936,0.50679552,0.643474391,0.136678872,0.148199094,,,,,,,,
